URL,Product_id,BrandName,Category,Individual_category,category_by_Gender,Description,DiscountPrice (in Rs),OriginalPrice (in Rs),SizeOption,Ratings,Reviews,Discount %,Discount offer,Discount price
https://www.myntra.com/tshirts/maniac/maniac-men-white-black-slim-fit-colourblocked-hood-pure-cotton-t-shirt/11218092/buy,11218092,Maniac,Topwear,tshirts,Men,maniac men white black slim fit colourblocked hood pure cotton t shirt,553,1349,"S, M, L, XL",4,562,59,795,553
https://www.myntra.com/shirts/roadster/the-roadster-lifestyle-co-men-maroon--navy-blue-regular-fit-checked-casual-sustainable-shirt/9680391/buy,9680391,Roadster,Topwear,shirts,Men,the roadster lifestyle co men maroon  navy blue regular fit checked casual sustainable shirt,854,1899,"38, 40, 42, 44, 46, 48",4.1,562,55,1044,855
https://www.myntra.com/tshirts/ether/ether-men-white-solid-round-neck-pure-cotton-t-shirt-with-contrast-tipping/8363133/buy,8363133,ether,Topwear,tshirts,Men,ether men white solid round neck pure cotton t shirt with contrast tipping,314,699,"S, M, L, XL, XXL",4,562,55,384,315
https://www.myntra.com/kurtas/anouk/anouk-off-white--pink-ethnic-motifs-printed-flared-sleeves-kaftan-kurta/13238394/buy,13238394,Anouk,Indian Wear,kurtas,Women,anouk off white  pink ethnic motifs printed flared sleeves kaftan kurta,809,1799,"XS, S, M, L, XL, XXL",4,562,55,989,810
https://www.myntra.com/dresses/vishudh/vishudh-women-red-solid-a-line-dress/7556600/buy,7556600,Vishudh,Indian Wear,dresses,Women,vishudh women red solid a line dress,1270,4099,"S, M, L, XL, XXL",4.1,562,69,2828,1271
https://www.myntra.com/lehenga-choli/satrani/satrani-beige--maroon-printed-unstitched-lehenga--blouse-with-dupatta/11671564/buy,11671564,Satrani,Indian Wear,lehenga-choli,Women,satrani beige  maroon printed unstitched lehenga  blouse with dupatta,1687,5818,Onesize,4.3,562,71,4130,1687
https://www.myntra.com/bra/abelino/abelino-grey-self-design-non-wired-heavily-padded-push-up-bra-leogreyskin/13498724/buy,13498724,ABELINO,Lingerie & Sleep Wear,bra,Women,abelino grey self design non wired heavily padded push up bra leogreyskin,539,1999,"28B, 30B, 32B, 34B, 36B, 38B, 40B",4.3,562,73,1459,540
https://www.myntra.com/jeans/herenow/herenow-women-blue-skinny-fit-mid-rise-clean-look-stretchable-cropped-jeans/6030521/buy,6030521,HERE&NOW,Plus Size,jeans,Women,herenow women blue skinny fit mid rise clean look stretchable cropped jeans,764,1699,"26, 28, 30, 32, 34, 36, 38, 40",3.9,562,55,934,765
https://www.myntra.com/kurtas/sangria/sangria-women-black--beige-printed-straight-kurta/11174320/buy,11174320,Sangria,Plus Size,kurtas,Women,sangria women black  beige printed straight kurta,399,999,"XS, S, M, L, XL, XXL, 3XL",4.2,562,60,599,400
https://www.myntra.com/jeggings/kassually/kassually-women-black-solid-high-rise-skinny-fit-tregging/10619264/buy,10619264,KASSUALLY,Western,jeggings,Women,kassually women black solid high rise skinny fit tregging,,1299,"24, 26, 28, 30, 32, 34",3.4,562,60,779,520
https://www.myntra.com/tshirts/mast--harbour/mast--harbour-women-pack-of-2-printed-cotton-t-shirts/17524900/buy,17524900,Mast & Harbour,Western,tshirts,Women,mast  harbour women pack of 2 printed cotton t shirts,,1598,"M, S, XS, XL, L",4.4,562,50,799,799
https://www.myntra.com/jeans/dressberry/dressberry-women-blue-skinny-fit-mid-rise-clean-look-stretchable-jeans/10671384/buy,10671384,DressBerry,Western,jeans,Women,dressberry women blue skinny fit mid rise clean look stretchable jeans,,1699,"26, 28, 30, 32, 34, 36",4.1,562,65,1104,595
https://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co-women-pink-solid-round-neck-pure-cotton-t-shirt/10778642/buy,10778642,Roadster,Western,tshirts,Women,the roadster lifestyle co women pink solid round neck pure cotton t shirt,,599,"XS, S, M, L, XL",4.3,562,40,239,359
https://www.myntra.com/tights/softrose/softrose-pack-of-2-tights/1164597/buy,1164597,Softrose,Western,tights,Women,softrose pack of 2 tights,,699,"S, M, L, XL, XXL",4.3,562,20,139,559
